title,price_str,price,grader,grade,keywords,card_number,sponsored,link,image_url
"PSA 10 GEM MINT Samurott 32/114 Holo Pokemon Black & White Base Set *LOW POP
Opens in a new window or tab",$749.99,749.99,PSA,10,[],32/114,False,https://www.ebay.com/itm/317934054523,https://i.ebayimg.com/images/g/hDwAAeSw05ppooW9/s-l500.webp
"Charizard 1st Edition Replica Base Set Holo PSA 10 Style Slab Display Collection
Opens in a new window or tab",$134.06,134.06,PSA,10,['1st Edition'],,False,https://www.ebay.com/itm/206106381290,https://i.ebayimg.com/images/g/1ZwAAeSweSRppexA/s-l500.webp
"Pokémon TCG Charizard Holo Rare 1st Edition Base Set PSA 10 004/102
Opens in a new window or tab","$5,000.00",5000.0,PSA,10,"['1st Edition', 'Holo Rare']",004/102,False,https://www.ebay.com/itm/406730114005,https://i.ebayimg.com/images/g/xuUAAeSw0VBppGsn/s-l500.webp
"PSA 10 Pokemon Card CHARIZARD-HOLO EXPEDITION-1ST EDITION 103 2001 JAPANESE
Opens in a new window or tab","$1,875.00",1875.0,PSA,10,['1st Edition'],,False,https://www.ebay.com/itm/377003952257,https://i.ebayimg.com/images/g/4jQAAeSwm4BpjNf0/s-l500.webp
"Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10
Opens in a new window or tab",$137.50,137.5,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/287168978666,https://i.ebayimg.com/images/g/AP0AAeSw0SJpj5BH/s-l500.webp
"PSA 10 🔥 2002 Pokemon Expedition Charizard 39/165 Non Holo Low Pop Rare
Opens in a new window or tab",$999.90,999.9,PSA,10,[],39/165,False,https://www.ebay.com/itm/389463564831,https://i.ebayimg.com/images/g/txAAAeSwwbRpXafk/s-l500.webp
"Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10
Opens in a new window or tab",$102.50,102.5,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/287167133693,https://i.ebayimg.com/images/g/Us4AAeSwsvBpoNow/s-l500.webp
"2021 Pokemon Celebrations Classic Base Set #4 Charizard Holo PSA 10
Opens in a new window or tab",$81.00,81.0,PSA,10,[],,False,https://www.ebay.com/itm/389692047949,https://i.ebayimg.com/images/g/jHMAAeSwY5RpphtI/s-l500.webp
"Charizard Pokemon Trading Card Game Mini KFC 1998 Nintendo WOTC PSA 10 G25901
Opens in a new window or tab",$479.95,479.95,PSA,10,[],,False,https://www.ebay.com/itm/357564547099,https://i.ebayimg.com/images/g/SXwAAeSw0aVouJKE/s-l500.webp
"Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10
Opens in a new window or tab",$152.50,152.5,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/287167120992,https://i.ebayimg.com/images/g/25IAAeSwE01poNh1/s-l500.webp
