title,price_str,price,price_currency,price_raw,grader,grade,keywords,card_number,sponsored,link,image_url,sold_date,sold_date_iso,similarity,matched,missing
"NEW LISTINGPokémon TCG Charizard 1999 Base Set Shadowless 1st Edition Holo PSA 10 004/102
Opens in a new window or tab","$1,500.00",1500.0,USD,1500.0,PSA,10,"['1st Edition', 'Shadowless']",004/102,False,https://www.ebay.com/itm/137112280720,https://i.ebayimg.com/images/g/0ksAAeSw8TRpr3-5/s-l500.webp,"Mar 9, 2026",2026-03-09,1.0,"['10', 'base', 'charizard', 'psa']",[]
"2021 Pokemon Celebrations Classic Base Set #4 Charizard Holo PSA 10
Opens in a new window or tab",$555.00,555.0,USD,555.0,PSA,10,[],,False,https://www.ebay.com/itm/389692047949,https://i.ebayimg.com/images/g/jHMAAeSwY5RpphtI/s-l500.webp,"Mar 9, 2026",2026-03-09,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokémon TCG Charizard Holo Rare 1st Edition Base Set Shadowless PSA 10 004/102
Opens in a new window or tab","$7,500.00",7500.0,USD,7500.0,PSA,10,"['1st Edition', 'Shadowless', 'Holo Rare']",004/102,False,https://www.ebay.com/itm/317964782683,https://i.ebayimg.com/images/g/oGoAAeSwqjNpq1YO/s-l500.webp,"Mar 9, 2026",2026-03-09,1.0,"['10', 'base', 'charizard', 'psa']",[]
"2021 Pokemon Celebrations Charizard-Holo Classic Coll. #4 GEM MT PSA 10 Base Set
Opens in a new window or tab",$520.00,520.0,USD,520.0,PSA,10,[],,False,https://www.ebay.com/itm/267596106630,https://i.ebayimg.com/images/g/QqQAAeSwHCNpqh3A/s-l500.webp,"Mar 9, 2026",2026-03-09,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10
Opens in a new window or tab",$520.00,520.0,USD,520.0,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/287168978666,https://i.ebayimg.com/images/g/AP0AAeSw0SJpj5BH/s-l500.webp,"Mar 8, 2026",2026-03-08,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10
Opens in a new window or tab",$490.00,490.0,USD,490.0,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/287167120992,https://i.ebayimg.com/images/g/25IAAeSwE01poNh1/s-l500.webp,"Mar 8, 2026",2026-03-08,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10
Opens in a new window or tab",$585.00,585.0,USD,585.0,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/287167133693,https://i.ebayimg.com/images/g/Us4AAeSwsvBpoNow/s-l500.webp,"Mar 8, 2026",2026-03-08,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10
Opens in a new window or tab",$520.00,520.0,USD,520.0,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/287167120891,https://i.ebayimg.com/images/g/xMIAAeSwA1RpoNf8/s-l500.webp,"Mar 8, 2026",2026-03-08,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Charizard 004/102 Base Set Holo PSA 10 1999 1st edition
Opens in a new window or tab","$45,000.00",45000.0,USD,45000.0,PSA,10,['1st Edition'],004/102,False,https://www.ebay.com/itm/287175100772,https://i.ebayimg.com/images/g/h2wAAeSwF2dppck7/s-l500.webp,"Mar 6, 2026",2026-03-06,1.0,"['10', 'base', 'charizard', 'psa']",[]
"1999 Pokemon Base Set CHARIZARD 1st Edition Holo #4 PSA 10 GEM MINT 🔥
Opens in a new window or tab","$1,861.76",1861.76,USD,1861.76,PSA,10,['1st Edition'],,False,https://www.ebay.com/itm/397676063937,https://i.ebayimg.com/images/g/Pb8AAeSwV8lpqL1K/s-l500.webp,"Mar 6, 2026",2026-03-06,1.0,"['10', 'base', 'charizard', 'psa']",[]
"1999 Pokemon First edition Base Set PSA 10 German Glurak | Charizard
Opens in a new window or tab","$50,000.00",50000.0,USD,50000.0,PSA,10,[],,False,https://www.ebay.com/itm/274907072057,https://i.ebayimg.com/images/g/D0gAAOSwteNhGZ2~/s-l500.webp,"Mar 5, 2026",2026-03-05,1.0,"['10', 'base', 'charizard', 'psa']",[]
"2021 Pokemon Celebrations Classic Coll Base Set #4 Charizard Holo PSA 10
Opens in a new window or tab",$672.22,672.22,USD,672.22,PSA,10,[],,False,https://www.ebay.com/itm/157676398582,https://i.ebayimg.com/images/g/ph0AAeSwR2dpjSNH/s-l500.webp,"Mar 4, 2026",2026-03-04,1.0,"['10', 'base', 'charizard', 'psa']",[]
"1999 Pokemon Base Set Booster Base Foil Charizard PSA 10
Opens in a new window or tab","$1,399.99",1399.99,USD,1399.99,PSA,10,[],,False,https://www.ebay.com/itm/317954279799,https://i.ebayimg.com/images/g/vk4AAeSwjlJpqHIQ/s-l500.webp,"Mar 4, 2026",2026-03-04,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Charizard 1999 Base Set PSA 10 English (Proxy)
Opens in a new window or tab",$115.20,115.2,USD,115.2,PSA,10,[],,False,https://www.ebay.com/itm/206110252646,https://i.ebayimg.com/images/g/aGEAAeSwnCdpqCu5/s-l500.webp,"Mar 4, 2026",2026-03-04,1.0,"['10', 'base', 'charizard', 'psa']",[]
"1996 Pokémon Japanese Base Set Holo Charizard PSA 10 Gem mint
Opens in a new window or tab","$28,049.99",28049.99,USD,28049.99,PSA,10,[],,False,https://www.ebay.com/itm/188102713322,https://i.ebayimg.com/images/g/VSoAAeSweK1pobBM/s-l500.webp,"Mar 4, 2026",2026-03-04,1.0,"['10', 'base', 'charizard', 'psa']",[]
"2021 Pokemon Celebrations Classic Coll Base Set #4 Charizard Holo PSA 10
Opens in a new window or tab",$790.00,790.0,USD,790.0,PSA,10,[],,False,https://www.ebay.com/itm/389665880646,https://i.ebayimg.com/images/g/zJsAAeSw1DhpnlL2/s-l500.webp,"Mar 3, 2026",2026-03-03,1.0,"['10', 'base', 'charizard', 'psa']",[]
"PSA 10 CHARIZARD 1999 Base Set English (Proxy)
Opens in a new window or tab",$208.28,208.28,USD,208.28,PSA,10,[],,False,https://www.ebay.com/itm/198151763016,https://i.ebayimg.com/images/g/poAAAeSwKO1ppyks/s-l500.webp,"Mar 3, 2026",2026-03-03,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokémon Charizard 004/102 Base Set Shadowless 1st Edition Holo PSA 10 120 HP
Opens in a new window or tab","$2,400.00",2400.0,USD,2400.0,PSA,10,"['1st Edition', 'Shadowless']",004/102,False,https://www.ebay.com/itm/377006588323,https://i.ebayimg.com/images/g/DiYAAeSwAg9ppgrV/s-l500.webp,"Mar 3, 2026",2026-03-03,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokémon Charizard 004/102 Base Set Shadowless 1st Edition Holo PSA 10 120 HP
Opens in a new window or tab","$2,400.00",2400.0,USD,2400.0,PSA,10,"['1st Edition', 'Shadowless']",004/102,False,https://www.ebay.com/itm/377006550082,https://i.ebayimg.com/images/g/DiYAAeSwAg9ppgrV/s-l500.webp,"Mar 3, 2026",2026-03-03,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokémon Charizard 004/102 Base Set Shadowless 1st Edition Holo PSA 10 120 HP
Opens in a new window or tab","$2,000.00",2000.0,USD,2000.0,PSA,10,"['1st Edition', 'Shadowless']",004/102,False,https://www.ebay.com/itm/377006500995,https://i.ebayimg.com/images/g/DiYAAeSwAg9ppgrV/s-l500.webp,"Mar 3, 2026",2026-03-03,1.0,"['10', 'base', 'charizard', 'psa']",[]
"PSA 10 Charizard 004/102 Base Set (Shadowless) Holo
Opens in a new window or tab","$40,000.00",40000.0,USD,40000.0,PSA,10,['Shadowless'],004/102,False,https://www.ebay.com/itm/177907539709,https://i.ebayimg.com/images/g/bPUAAeSwoFhpo6vj/s-l500.webp,"Mar 3, 2026",2026-03-03,1.0,"['10', 'base', 'charizard', 'psa']",[]
"1999 Pokemon Base Set Pack Charizard Artwork PSA 10 Gem Mint
Opens in a new window or tab","$1,500.00",1500.0,USD,1500.0,PSA,10,[],,False,https://www.ebay.com/itm/287175550068,https://i.ebayimg.com/images/g/cwsAAeSwZ~lpphLV/s-l500.webp,"Mar 2, 2026",2026-03-02,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Charizard Pokemon 1999 Base Set PSA 10 English (Proxy)
Opens in a new window or tab",$115.20,115.2,USD,115.2,PSA,10,[],,False,https://www.ebay.com/itm/206105704623,https://i.ebayimg.com/images/g/dbsAAeSwn6VppX3V/s-l500.webp,"Mar 2, 2026",2026-03-02,1.0,"['10', 'base', 'charizard', 'psa']",[]
"2021 Pokemon Celebrations Charizard Holo PSA 10 Base Set
Opens in a new window or tab",$520.00,520.0,USD,520.0,PSA,10,[],,False,https://www.ebay.com/itm/188110145694,https://i.ebayimg.com/images/g/UvoAAeSwayhppJl6/s-l500.webp,"Mar 1, 2026",2026-03-01,1.0,"['10', 'base', 'charizard', 'psa']",[]
"2021 Pokemon Celebrations Charizard-Holo #4 GEM MT PSA 10 Classic Coll-Base Set
Opens in a new window or tab",$550.00,550.0,USD,550.0,PSA,10,[],,False,https://www.ebay.com/itm/168173937677,https://i.ebayimg.com/images/g/uboAAeSwLdZpmMC1/s-l500.webp,"Mar 1, 2026",2026-03-01,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10
Opens in a new window or tab",$500.00,500.0,USD,500.0,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/287156763876,https://i.ebayimg.com/images/g/pzAAAeSw9Z5phoBf/s-l500.webp,"Mar 1, 2026",2026-03-01,1.0,"['10', 'base', 'charizard', 'psa']",[]
"2021 Pokemon Celebrations Charizard-Holo #4 GEM MT PSA 10 Classic Coll-Base Set
Opens in a new window or tab",$515.00,515.0,USD,515.0,PSA,10,[],,False,https://www.ebay.com/itm/188068954472,https://i.ebayimg.com/images/g/sTIAAeSwPo5plNHm/s-l500.webp,"Mar 1, 2026",2026-03-01,1.0,"['10', 'base', 'charizard', 'psa']",[]
"1996 Pokémon Base Set Japanese #6 Charizard Holo PSA 10
Opens in a new window or tab","$19,500.00",19500.0,USD,19500.0,PSA,10,[],,False,https://www.ebay.com/itm/366225438057,https://i.ebayimg.com/images/g/t3sAAeSw~NRpnfog/s-l500.webp,"Feb 27, 2026",2026-02-27,1.0,"['10', 'base', 'charizard', 'psa']",[]
"2021 Pokémon Celebrations Charizard Holo Classic Coll Base Set PSA 10
Opens in a new window or tab",$595.00,595.0,USD,595.0,PSA,10,[],,False,https://www.ebay.com/itm/376984257389,https://i.ebayimg.com/images/g/ed8AAeSw~KBpmyTw/s-l500.webp,"Feb 27, 2026",2026-02-27,1.0,"['10', 'base', 'charizard', 'psa']",[]
"Pokemon 1999 Charizard Base Set Unlimited Holo Rare #4 PSA 10 Gem Mint
Opens in a new window or tab","$18,995.00",18995.0,USD,18995.0,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/188099364724,https://i.ebayimg.com/images/g/wgkAAeSwedJpnf-d/s-l500.webp,"Feb 26, 2026",2026-02-26,1.0,"['10', 'base', 'charizard', 'psa']",[]
"PSA 10 Charizard #4 2021 Celebrations Classic Coll Base Set Pokémon TCG
Opens in a new window or tab",$550.00,550.0,USD,550.0,PSA,10,[],,False,https://www.ebay.com/itm/206089618655,https://i.ebayimg.com/images/g/oeMAAeSwIoBpnMyz/s-l500.webp,"Feb 24, 2026",2026-02-24,1.0,"['10', 'base', 'charizard', 'psa']",[]
