title,price_str,price,grader,grade,keywords,card_number,sponsored,link,image_url
"PSA 10 Charizard 212/172 s12a VSTAR SAR Pokemon Card Japanese VSTAR Universe
Opens in a new window or tab",$179.95,179.95,PSA,10,,212/172,False,https://www.ebay.com/itm/226010626638,https://i.ebayimg.com/images/g/BisAAeSwhfFpUzoP/s-l500.webp
"Pokémon TCG M Charizard EX #101/108 Evolutions 2016 PSA 10
Opens in a new window or tab",$550.00,550.0,PSA,10,,101/108,False,https://www.ebay.com/itm/267585662573,https://i.ebayimg.com/images/g/h9EAAeSwb8FpnjmI/s-l500.webp
"PSA 10 Charizard 2023 Classic Collection Pokemon CLL 003 Graded Card
Opens in a new window or tab",$238.60,238.6,PSA,10,,,False,https://www.ebay.com/itm/188084683147,https://i.ebayimg.com/images/g/HqEAAeSwleRpmw-K/s-l500.webp
"2025 POKEMON JPN M2A-MEGA DREAM EX MEGA ATTACK RARE MEGA CHARIZARD X EX PSA 10
Opens in a new window or tab",$165.00,165.0,PSA,10,,,False,https://www.ebay.com/itm/117060703718,https://i.ebayimg.com/images/g/xmgAAeSw7YBpoenj/s-l500.webp
"Pokémon PSA 10 Reshiram & Charizard GX 20 Unbroken Bonds Tag Team Nm M
Opens in a new window or tab",$169.95,169.95,PSA,10,,,False,https://www.ebay.com/itm/267587186217,https://i.ebayimg.com/images/g/GEwAAeSw45Rpn-kM/s-l500.webp
"🇬🇧 PSA 10 Mega Charizard X ex SR 094/080 Inferno X M2 Pokemon Card Japanese
Opens in a new window or tab",$102.79,102.79,PSA,10,,094/080,False,https://www.ebay.com/itm/157702772393,https://i.ebayimg.com/images/g/liAAAeSwAiNpnJts/s-l500.webp
"PSA 10 Mega Charizard X ex 094/080 SR 2025 Pokemon M2 JP Secret Rare GEM MINT
Opens in a new window or tab",$380.00,380.0,PSA,10,,094/080,False,https://www.ebay.com/itm/127707411266,https://i.ebayimg.com/images/g/58IAAeSw8eJpoPk~/s-l500.webp
"2020 Pokemon SWSH FA/Charizard VMAX #074 Champion's Path Secret Rainbow PSA 10
Opens in a new window or tab",$349.95,349.95,PSA,10,,,False,https://www.ebay.com/itm/397658596758,https://i.ebayimg.com/images/g/PTEAAeSwvlJpojW0/s-l500.webp
"PSA 10 Charizard 212/172 Mewtwo 221/172 SAR VSTAR Universe Pokemon Card Japanese
Opens in a new window or tab",$339.90,339.9,PSA,10,,212/172,False,https://www.ebay.com/itm/226688914448,https://i.ebayimg.com/images/g/cyAAAeSwJ3BownZ4/s-l500.webp
"1999 Pokemon Japanese Gym 2 #6 Blaine's Charizard Holo PSA 10 GEM MINT
Opens in a new window or tab","$3,600.00",3600.0,PSA,10,,,False,https://www.ebay.com/itm/389641142406,https://i.ebayimg.com/images/g/WAEAAeSwN2tplfms/s-l500.webp
"Pokemon Charizard/Dracaufeu Vstar s12a PSA 10
Opens in a new window or tab",$64.97,64.97,PSA,10,,,False,https://www.ebay.com/itm/306788662611,https://i.ebayimg.com/images/g/hNMAAeSwDMBpllfB/s-l500.webp
"PSA10 MEGA Charizard X ex MA 223/193 M2a MEGA Dream ex Pokemon Card 2025
Opens in a new window or tab",$170.00,170.0,PSA,10,,223/193,False,https://www.ebay.com/itm/137061268393,https://i.ebayimg.com/images/g/qxwAAeSwchJpnnpV/s-l500.webp
