title,price_str,price,grader,grade,keywords,card_number,sponsored,link,image_url
"PIKACHU POKEMON 242/SV-P 2025 ILLUSTRATION CONTEST 2024 - JAPANESE CGC 9
Opens in a new window or tab",$6.50,6.5,CGC,9,[],,False,https://www.ebay.com/itm/137045323691,https://i.ebayimg.com/images/g/A-cAAeSw6bBplGnh/s-l500.webp
"POKEMON 2023 PIKACHU 173/165 151 Illustration Rare CGC 9 MINT
Opens in a new window or tab",$55.00,55.0,CGC,9,[],173/165,False,https://www.ebay.com/itm/366135716798,https://i.ebayimg.com/images/g/DrwAAeSwJjxpbleD/s-l500.webp
"2024 Pokemon Surging Sparks Pikachu #238 Special Illustration Rare ex CGC 9 Mint
Opens in a new window or tab",$262.49,262.49,CGC,9,[],,False,https://www.ebay.com/itm/366209176452,https://i.ebayimg.com/images/g/a-cAAeSwm4BplO55/s-l500.webp
"Pikachu 214 Black Star Promo Illustration Contest 2024 Winner CGC 9MINT
Opens in a new window or tab",$24.99,24.99,CGC,9,[],,False,https://www.ebay.com/itm/336447958012,https://i.ebayimg.com/images/g/XWEAAeSwmDRpm8cH/s-l500.webp
"Pikachu 214 Black Star Promo Illustration Contest 2024 Winner CGC 9MINT
Opens in a new window or tab",$104.00,104.0,CGC,9,[],,False,https://www.ebay.com/itm/297967905919,https://i.ebayimg.com/images/g/9X4AAeSwBRppdiil/s-l500.webp
"Pikachu 173/165 Illustration Rare English 2023 Pokemon CGC 9
Opens in a new window or tab",$49.00,49.0,CGC,9,[],173/165,False,https://www.ebay.com/itm/389064685505,https://i.ebayimg.com/images/g/qA0AAeSwIcBo5Z2N/s-l500.webp
"Pikachu Pokemon Scarlet & Violet Promo Illustration Contest 2024 #214 CGC 9 #2
Opens in a new window or tab",$40.95,40.95,CGC,9,[],,False,https://www.ebay.com/itm/257202670197,https://i.ebayimg.com/images/g/anAAAeSwkRFpE3LH/s-l500.webp
"2025 Pokemon Pikachu Black Star Promo Illustration Contest 2024 SVP 214 CGC 9
Opens in a new window or tab",$26.00,26.0,CGC,9,[],,False,https://www.ebay.com/itm/277452161221,https://i.ebayimg.com/images/g/d4gAAeSwNHVo9GON/s-l500.webp
"CGC 9 - Pikachu #214 (Illustration Contest 2024)
Opens in a new window or tab",$18.00,18.0,CGC,9,[],,False,https://www.ebay.com/itm/177610976780,https://i.ebayimg.com/images/g/fKsAAeSwcEtpJQcM/s-l500.webp
"Pikachu #214 Illustration Contest 2024 Promo Black Star SVP CGC 9 Mint Pokémon
Opens in a new window or tab",$18.50,18.5,CGC,9,[],,False,https://www.ebay.com/itm/206058124302,https://i.ebayimg.com/images/g/wEQAAeSw~K1pONNH/s-l500.webp
"2025 POKEMON SVP EN-SV BLACK STAR PROMO ILLUSTRATION CONTEST PIKACHU CGC 9
Opens in a new window or tab",$28.00,28.0,CGC,9,[],,False,https://www.ebay.com/itm/396589785113,https://i.ebayimg.com/images/g/ggUAAeSw5MZoHnRk/s-l500.webp
"🔥 Graded Pokemon Pikachu Black Star Promo 2024 Illustration Contest (214) CGC 9
Opens in a new window or tab",$18.99,18.99,CGC,9,[],,False,https://www.ebay.com/itm/306782959675,https://i.ebayimg.com/images/g/7n4AAeSwGc9o9ThW/s-l500.webp
"2023 Pokemon JPN Energy Yukina Suzuki Pikachu Illustration Sketch CGC 9 Auto 9
Opens in a new window or tab","$2,304.24",2304.24,CGC,9,[],,False,https://www.ebay.com/itm/366181584790,https://i.ebayimg.com/images/g/C9gAAeSwiONphn8X/s-l500.webp
"Pokemon Pikachu Illustration Contest #214 SV Black Star Promos, CGC 9
Opens in a new window or tab",$25.00,25.0,CGC,9,[],,False,https://www.ebay.com/itm/358103101852,https://i.ebayimg.com/images/g/nuYAAeSwgkVpYr1h/s-l500.webp
"Pikachu Illustration Contest 2024 Winner Black Star Promos 214 NM CGC 9
Opens in a new window or tab",$29.99,29.99,CGC,9,[],,False,https://www.ebay.com/itm/306588605806,https://i.ebayimg.com/images/g/y2kAAeSwZklpDXa5/s-l500.webp
"CGC 9 Mint Pikachu Black Star Promo Illustration Contest 2024 SVP 214 Pokemon
Opens in a new window or tab",$34.95,34.95,CGC,9,[],,False,https://www.ebay.com/itm/326890094338,https://i.ebayimg.com/images/g/A68AAeSw8K5pKlFb/s-l500.webp
"POKEMON ARTICUNO JOURNEY TOGETHER 161/159 ILLUSTRATION RARE HOLO CGC 9
Opens in a new window or tab",$9.99,9.99,CGC,9,[],161/159,False,https://www.ebay.com/itm/177904673601,https://i.ebayimg.com/images/g/LIcAAeSweSRpok5U/s-l500.webp
"Pikachu Pokemon Scarlet & Violet Promo Illustration Contest 2024 #214 CGC 9 #1
Opens in a new window or tab",$40.95,40.95,CGC,9,[],,False,https://www.ebay.com/itm/257202670195,https://i.ebayimg.com/images/g/3d8AAeSwV41pE3LG/s-l500.webp
"Pokemon Graded: Pikachu ex 238/191 Surging Sparks (2024) Illustration Rare CGC 9
Opens in a new window or tab",$459.99,459.99,CGC,9,[],238/191,False,https://www.ebay.com/itm/317899850066,https://i.ebayimg.com/images/g/ryUAAeSwDStpl02X/s-l500.webp
"Pokémon Pikachu (2025) Black Star Promos Illustration CGC 9
Opens in a new window or tab",$23.50,23.5,CGC,9,[],,False,https://www.ebay.com/itm/197832748345,https://i.ebayimg.com/images/g/QBQAAeSwdLppC5ol/s-l500.webp
"CGC 9 Mint Pikachu Black Star Promo Illustration Contest 2024 SVP 214 Pokemon
Opens in a new window or tab",$250.00,250.0,CGC,9,[],,False,https://www.ebay.com/itm/146915919677,https://i.ebayimg.com/images/g/4XMAAeSwpd9o-sfE/s-l500.webp
