title,price_str,price,price_currency,price_raw,grader,grade,keywords,card_number,sponsored,link,image_url,sold_date,sold_date_iso,similarity,matched,missing
"POKEMON PSA 10 GEM MINT PIKACHU 2018 SCREAM JAPANESE PROMO MUNCH CARD 288/SM-P
Opens in a new window or tab","$15,000.00",15000.0,USD,15000.0,PSA,10,[],,False,https://www.ebay.com/itm/187626104995,https://i.ebayimg.com/images/g/wdwAAeSwQnpo4xSb/s-l500.webp,"Feb 25, 2026",2026-02-25,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"PSA10 Japanese Pokémon Pikachu Munch A Retrospective PROMO 288/SM-P 2018
Opens in a new window or tab","$14,500.00",14500.0,USD,14500.0,PSA,10,[],,False,https://www.ebay.com/itm/389592322873,https://i.ebayimg.com/images/g/jIcAAeSwzrZpiDzd/s-l500.webp,"Feb 24, 2026",2026-02-24,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"2018 POKEMON JPN SM PROMO MUNCH: A RETROSPECTIVE #288 PIKACHU PSA 10
Opens in a new window or tab","$13,500.00",13500.0,USD,13500.0,PSA,10,[],,False,https://www.ebay.com/itm/306788999156,https://i.ebayimg.com/images/g/kyYAAeSwuHtpnkPB/s-l500.webp,"Feb 24, 2026",2026-02-24,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"PSA10 Pokemon Card Japanese Pikachu Munch Exhibition Promo
Opens in a new window or tab","$23,598.98",23598.98,USD,23598.98,PSA,10,[],,False,https://www.ebay.com/itm/402616750584,https://i.ebayimg.com/images/g/4D8AAOSwIWZh4Qye/s-l500.webp,"Feb 23, 2026",2026-02-23,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"2018 Pokemon Japanese SM Promo Munch: A Retrospective #288 Pikachu PSA 10
Opens in a new window or tab","$14,500.00",14500.0,USD,14500.0,PSA,10,[],,False,https://www.ebay.com/itm/389617585513,https://i.ebayimg.com/images/g/CZsAAeSwDoBpj2SM/s-l500.webp,"Feb 23, 2026",2026-02-23,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"PSA 10 GEM MINT Pokemon Pikachu #288 Munch Promo 2018 Japanese SM-P 288
Opens in a new window or tab","$13,353.79",13353.79,USD,13353.79,PSA,10,[],,False,https://www.ebay.com/itm/257364777732,https://i.ebayimg.com/images/g/8sMAAeSwK~NplEB1/s-l500.webp,"Feb 23, 2026",2026-02-23,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"Full-Art Pikachu Pokemon 2018 Munch Retrospective Promo Japanese 288/SM-P PSA 10
Opens in a new window or tab","$13,499.99",13499.99,USD,13499.99,PSA,10,[],,False,https://www.ebay.com/itm/406170570214,https://i.ebayimg.com/images/g/iOwAAeSwmL5osUfi/s-l500.webp,"Feb 20, 2026",2026-02-20,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"Full-Art Pikachu Pokemon 2018 Munch Retrospective Promo Japanese 288/SM-P PSA 10
Opens in a new window or tab","$12,449.99",12449.99,USD,12449.99,PSA,10,[],,False,https://www.ebay.com/itm/236613300532,https://i.ebayimg.com/images/g/BZAAAeSwIkZpgE0c/s-l500.webp,"Feb 19, 2026",2026-02-19,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"Pokemon Cards - PSA 10 Pikachu 288/SM-P - JPN Munch Promo - GEM MT - PSA10
Opens in a new window or tab","$10,704.17",10704.17,USD,10704.17,PSA,10,[],,False,https://www.ebay.com/itm/137041779997,https://i.ebayimg.com/images/g/BQgAAeSwcEdpkwDd/s-l500.webp,"Feb 19, 2026",2026-02-19,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"Pokémon Pikachu 2018 JPN SM Promo #288 Munch: A Retrospective PSA 10
Opens in a new window or tab","$11,502.00",11502.0,USD,11502.0,PSA,10,[],,False,https://www.ebay.com/itm/389610980641,https://i.ebayimg.com/images/g/w-AAAeSwjuFpgAqw/s-l500.webp,"Feb 18, 2026",2026-02-18,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"2018 POKEMON JAPANESE SM PROMO MUNCH: A RETROSPECTIVE #288 PIKACHU PSA 10
Opens in a new window or tab","$4,592.48",4592.48,USD,4592.48,PSA,10,[],,False,https://www.ebay.com/itm/206077805784,https://i.ebayimg.com/images/g/RQkAAeSwip5plX8U/s-l500.webp,"Feb 18, 2026",2026-02-18,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"2018 POKEMON JPN SM PROMO MUNCH: A RETROSPECTIVE #288 PIKACHU PSA 10
Opens in a new window or tab","$12,500.00",12500.0,USD,12500.0,PSA,10,[],,False,https://www.ebay.com/itm/297878845723,https://i.ebayimg.com/images/g/PtQAAeSwErZpTnLX/s-l500.webp,"Feb 17, 2026",2026-02-17,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"Pokémon Pikachu Munch: A Retrospective Promo #288 2018 PSA 10 Japanese Card
Opens in a new window or tab","$1,500.00",1500.0,USD,1500.0,PSA,10,[],,False,https://www.ebay.com/itm/397613694630,https://i.ebayimg.com/images/g/xLIAAeSwm2Zpkkm4/s-l500.webp,"Feb 15, 2026",2026-02-15,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"Pokémon Pikachu Munch: A Retrospective Promo #288 2018 PSA 10 Japanese Card
Opens in a new window or tab","$1,500.00",1500.0,USD,1500.0,PSA,10,[],,False,https://www.ebay.com/itm/397613426295,https://i.ebayimg.com/images/g/xLIAAeSwm2Zpkkm4/s-l500.webp,"Feb 15, 2026",2026-02-15,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"2018 Pokemon Japanese SM Promo Munch A Retrospective #288 Pikachu PSA 10
Opens in a new window or tab","$11,700.00",11700.0,USD,11700.0,PSA,10,[],,False,https://www.ebay.com/itm/389587045736,https://i.ebayimg.com/images/g/SN8AAeSw7p9phlFz/s-l500.webp,"Feb 14, 2026",2026-02-14,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"Pokémon Pikachu 2018 JPN SM Promo #288 Munch: A Retrospective PSA 10
Opens in a new window or tab","$11,588.00",11588.0,USD,11588.0,PSA,10,[],,False,https://www.ebay.com/itm/389568054710,https://i.ebayimg.com/images/g/w-AAAeSwjuFpgAqw/s-l500.webp,"Feb 8, 2026",2026-02-08,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"Pokemon Pikachu Scream Munch Retrospective JPN Full Art Promo 288/SM-P PSA 10
Opens in a new window or tab","$9,900.00",9900.0,USD,9900.0,PSA,10,[],,False,https://www.ebay.com/itm/287111411231,https://i.ebayimg.com/images/g/oEYAAeSwjVFpfVj4/s-l500.webp,"Feb 8, 2026",2026-02-08,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"2018 POKEMON JPN SM PROMO MUNCH: A RETROSPECTIVE #288 PIKACHU PSA 10
Opens in a new window or tab","$10,200.00",10200.0,USD,10200.0,PSA,10,[],,False,https://www.ebay.com/itm/389519541311,https://i.ebayimg.com/images/g/z9wAAeSwpcBpcDaF/s-l500.webp,"Jan 30, 2026",2026-01-30,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"Pokémon Pikachu Munch: A Retrospective Promo #288 PSA 10 2018 Japanese
Opens in a new window or tab","$9,899.00",9899.0,USD,9899.0,PSA,10,[],,False,https://www.ebay.com/itm/136999191527,https://i.ebayimg.com/images/g/m8QAAeSwaJVpfOaq/s-l500.webp,"Jan 30, 2026",2026-01-30,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"2018 POKEMON JAPANESE SM PROMO MUNCH: A RETROSPECTIVE #288 PIKACHU PSA 10
Opens in a new window or tab","$10,750.00",10750.0,USD,10750.0,PSA,10,[],,False,https://www.ebay.com/itm/389525994024,https://i.ebayimg.com/images/g/lv8AAeSw~plpcmRE/s-l500.webp,"Jan 26, 2026",2026-01-26,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
"2018 POKEMON JAPANESE SM PROMO MUNCH: A RETROSPECTIVE #288 PIKACHU PSA 10
Opens in a new window or tab","$10,950.00",10950.0,USD,10950.0,PSA,10,[],,False,https://www.ebay.com/itm/116979989847,https://i.ebayimg.com/images/g/rTcAAeSwq7ZpZT-l/s-l500.webp,"Jan 25, 2026",2026-01-25,1.0,"['10', 'munch', 'pikachu', 'psa']",[]
