title,price_str,price,price_currency,price_raw,grader,grade,keywords,card_number,sponsored,link,image_url,sold_date,sold_date_iso,similarity,matched,missing
"2023 Pokemon X Van Gogh Grey Felt Hat Pikachu PSA 10 Read Description!!!!!!!
Opens in a new window or tab","$2,630.00",2630.0,USD,2630.0,PSA,10,[],,False,https://www.ebay.com/itm/177972446060,https://i.ebayimg.com/images/g/cWEAAeSw~WxpuMoW/s-l500.webp,"Mar 19, 2026",2026-03-19,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"2023 Pokemon X Van Gogh Grey Felt Hat Pikachu PSA 10 GEM MT (Pika-Portrait)
Opens in a new window or tab","$2,799.00",2799.0,USD,2799.0,PSA,10,[],,False,https://www.ebay.com/itm/236697737047,https://i.ebayimg.com/images/g/w1cAAeSwAVppuut3/s-l500.webp,"Mar 19, 2026",2026-03-19,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"PSA 10 SEALED VAN GOGH PIKACHU WITH GREY FELT HAT PLEASEen 085 PROMO POP 2622 in🌍
Opens in a new window or tab","$2,039.66",2039.66,USD,2039.66,PSA,10,[],,False,https://www.ebay.com/itm/317995039099,https://i.ebayimg.com/images/g/2HEAAeSwtqRps14H/s-l500.webp,"Mar 19, 2026",2026-03-19,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"2023 POKEMON SVP EN PIKACHU FELT HAT X VAN GOGH 085 PSA 10
Opens in a new window or tab","$2,605.00",2605.0,USD,2605.0,PSA,10,[],,False,https://www.ebay.com/itm/168239333821,https://i.ebayimg.com/images/g/awEAAeSwOn9puJBL/s-l500.webp,"Mar 19, 2026",2026-03-19,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"Pokemon Van Gogh Promo Pikachu with Grey Felt Hat / MINT 9 / PSA 10 ?
Opens in a new window or tab",$927.12,927.12,USD,927.12,PSA,10,[],,False,https://www.ebay.com/itm/117002699205,https://i.ebayimg.com/images/g/pfcAAeSw1WRpd6pS/s-l500.webp,"Mar 19, 2026",2026-03-19,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"PSA 10 VAN GOGH PIKACHU GREY FELT HAT SVP 085 BLACK STAR PROMO POKEMON TCG
Opens in a new window or tab","$2,829.91",2829.91,USD,2829.91,PSA,10,[],,False,https://www.ebay.com/itm/267602497097,https://i.ebayimg.com/images/g/QPcAAeSwSHlpsqrO/s-l500.webp,"Mar 19, 2026",2026-03-19,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"PSA 10 PIKACHU VAN GOGH GREY FELT HAT SVP 085 BLACK STAR PROMO POKEMON TCG
Opens in a new window or tab","$1,852.42",1852.42,USD,1852.42,PSA,10,[],,False,https://www.ebay.com/itm/336489772010,https://i.ebayimg.com/images/g/ft0AAeSwON5ptf~a/s-l500.webp,"Mar 19, 2026",2026-03-19,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"Van Gogh Pikachu PSA 10 SVP 085 Grey Felt Hat Pokemon Black Star Promo
Opens in a new window or tab","$1,853.26",1853.26,USD,1853.26,PSA,10,[],,False,https://www.ebay.com/itm/358349244827,https://i.ebayimg.com/images/g/NfgAAeSwX6tpu39p/s-l500.webp,"Mar 19, 2026",2026-03-19,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"2023 POKEMON x Van Gogh - Pikachu with a Grey Felt Hat PSA 10
Opens in a new window or tab","$2,259.86",2259.86,USD,2259.86,PSA,10,[],,False,https://www.ebay.com/itm/397733627874,https://i.ebayimg.com/images/g/BnUAAeSwXthpu2Vi/s-l500.webp,"Mar 19, 2026",2026-03-19,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"PSA 10 Van Gogh Pikachu Grey Felt Hat SVP 085 Black Star Promo Pokémon Card
Opens in a new window or tab","$1,933.77",1933.77,USD,1933.77,PSA,10,[],,False,https://www.ebay.com/itm/336489521210,https://i.ebayimg.com/images/g/PFAAAeSwUapptwwD/s-l500.webp,"Mar 18, 2026",2026-03-18,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
"PSA 10 Pikachu Van Gogh Grey Felt Hat SVP 085 Pokemon Black Star Promo
Opens in a new window or tab","$1,853.26",1853.26,USD,1853.26,PSA,10,[],,False,https://www.ebay.com/itm/358348657280,https://i.ebayimg.com/images/g/RwMAAeSwUEdpu0xS/s-l500.webp,"Mar 18, 2026",2026-03-18,1.0,"['10', 'gogh', 'pikachu', 'psa', 'van']",[]
